Rank,Sex,Total,Probability
101,Female,211,0.3791469194312796
102,Male,359,0.415041782729805
102,Female,244,0.5122950819672131
103,Male,335,0.4208955223880597
103,Female,232,0.3879310344827586
104,Male,272,0.40441176470588236
104,Female,241,0.4190871369294606
105,Male,314,0.39171974522292996
105,Female,203,0.39408866995073893
106,Male,256,0.3515625
106,Female,193,0.40414507772020725
107,Male,289,0.42560553633217996
107,Female,196,0.3979591836734694
108,Male,241,0.36929460580912865
108,Female,180,0.4
109,Male,279,0.3942652329749104
109,Female,178,0.3595505617977528
110,Male,245,0.40816326530612246
110,Female,178,0.3707865168539326
111,Male,244,0.45901639344262296
111,Female,161,0.2795031055900621
112,Male,245,0.4326530612244898
112,Female,166,0.3855421686746988
113,Male,260,0.4
113,Female,183,0.3770491803278688
114,Male,237,0.4219409282700422
114,Female,190,0.41578947368421054
115,Male,186,0.3548387096774194
115,Female,158,0.3670886075949367
116,Male,212,0.4009433962264151
116,Female,121,0.371900826446281
117,Male,260,0.4307692307692308
117,Female,145,0.3724137931034483
118,Male,208,0.4230769230769231
118,Female,147,0.38095238095238093
119,Male,188,0.3670212765957447
119,Female,137,0.35036496350364965
120,Male,188,0.40425531914893614
120,Female,115,0.33043478260869563
121,Male,195,0.441025641025641
121,Female,143,0.43356643356643354
122,Male,236,0.4152542372881356
122,Female,147,0.38095238095238093
123,Male,183,0.41530054644808745
123,Female,138,0.3695652173913043
124,Male,191,0.418848167539267
124,Female,135,0.362962962962963
125,Male,181,0.3701657458563536
125,Female,113,0.35398230088495575
126,Male,173,0.3930635838150289
126,Female,120,0.4083333333333333
127,Male,184,0.41847826086956524
127,Female,134,0.4253731343283582
128,Male,177,0.4406779661016949
128,Female,102,0.3431372549019608
129,Male,205,0.4585365853658537
129,Female,103,0.42718446601941745
130,Male,145,0.42758620689655175
130,Female,110,0.39090909090909093
131,Male,184,0.391304347826087
131,Female,126,0.38095238095238093
132,Male,127,0.4094488188976378
132,Female,119,0.46218487394957986
133,Male,173,0.42196531791907516
133,Female,126,0.42857142857142855
134,Male,142,0.4014084507042254
134,Female,129,0.4496124031007752
135,Male,149,0.3422818791946309
135,Female,110,0.4090909090909091
136,Male,119,0.3445378151260504
136,Female,92,0.391304347826087
137,Male,127,0.4330708661417323
137,Female,92,0.42391304347826086
138,Male,138,0.37681159420289856
138,Female,85,0.36470588235294116
139,Male,109,0.3669724770642202
139,Female,116,0.4224137931034483
140,Male,132,0.38636363636363635
140,Female,92,0.34782608695652173
141,Male,120,0.3416666666666667
141,Female,96,0.4375
142,Male,113,0.37168141592920356
142,Female,93,0.43010752688172044
143,Male,109,0.42201834862385323
143,Female,81,0.3950617283950617
144,Male,126,0.42063492063492064
144,Female,87,0.41379310344827586
145,Male,102,0.3333333333333333
145,Female,103,0.42718446601941745
146,Male,111,0.32432432432432434
146,Female,89,0.3595505617977528
147,Male,109,0.41284403669724773
147,Female,81,0.30864197530864196
148,Male,99,0.3838383838383838
148,Female,73,0.3013698630136986
149,Male,93,0.3763440860215054
149,Female,85,0.38823529411764707
150,Male,109,0.3853211009174312
150,Female,81,0.3950617283950617
151,Male,73,0.4383561643835616
151,Female,64,0.40625
152,Male,86,0.38372093023255816
152,Female,42,0.40476190476190477
153,Male,95,0.47368421052631576
153,Female,60,0.36666666666666664
154,Male,91,0.3626373626373626
154,Female,92,0.41304347826086957
155,Male,104,0.38461538461538464
155,Female,71,0.4647887323943662
156,Male,86,0.4418604651162791
156,Female,72,0.2916666666666667
157,Male,84,0.38095238095238093
157,Female,71,0.36619718309859156
158,Male,84,0.4166666666666667
158,Female,94,0.43617021276595747
159,Male,80,0.3
159,Female,65,0.3230769230769231
160,Male,71,0.28169014084507044
160,Female,50,0.4
161,Male,62,0.3225806451612903
161,Female,34,0.2647058823529412
162,Male,81,0.43209876543209874
162,Female,83,0.43373493975903615
163,Male,76,0.32894736842105265
163,Female,41,0.43902439024390244
164,Male,76,0.40789473684210525
164,Female,56,0.35714285714285715
165,Male,53,0.2830188679245283
165,Female,65,0.38461538461538464
166,Male,69,0.4057971014492754
166,Female,54,0.35185185185185186
167,Male,60,0.36666666666666664
167,Female,52,0.3269230769230769
168,Male,74,0.28378378378378377
168,Female,43,0.4418604651162791
169,Male,72,0.4722222222222222
169,Female,44,0.4318181818181818
170,Male,47,0.3191489361702128
170,Female,45,0.3111111111111111
171,Male,47,0.23404255319148937
171,Female,44,0.4318181818181818
172,Male,67,0.3582089552238806
172,Female,54,0.37037037037037035
173,Male,68,0.3382352941176471
173,Female,37,0.2702702702702703
174,Male,68,0.38235294117647056
174,Female,43,0.4418604651162791
175,Male,62,0.4032258064516129
175,Female,35,0.2857142857142857
176,Male,56,0.30357142857142855
176,Female,43,0.4418604651162791
177,Male,47,0.3191489361702128
177,Female,36,0.3611111111111111
178,Male,53,0.2830188679245283
178,Female,27,0.4444444444444444
179,Male,50,0.38
179,Female,31,0.22580645161290322
180,Male,60,0.4
180,Female,27,0.2962962962962963
181,Male,57,0.40350877192982454
181,Female,35,0.42857142857142855
182,Male,51,0.35294117647058826
182,Female,57,0.3684210526315789
183,Male,33,0.2727272727272727
183,Female,68,0.35294117647058826
184,Male,61,0.36065573770491804
184,Female,36,0.2222222222222222
185,Male,62,0.3709677419354839
185,Female,27,0.4074074074074074
186,Male,32,0.3125
186,Female,42,0.35714285714285715
187,Male,41,0.3170731707317073
187,Female,35,0.37142857142857144
188,Male,52,0.38461538461538464
188,Female,31,0.25806451612903225
189,Male,44,0.36363636363636365
189,Female,36,0.3888888888888889
190,Male,35,0.22857142857142856
190,Female,39,0.3333333333333333
191,Male,39,0.358974358974359
191,Female,46,0.2826086956521739
192,Male,40,0.35
192,Female,39,0.41025641025641024
193,Male,56,0.35714285714285715
193,Female,46,0.391304347826087
194,Male,35,0.3142857142857143
194,Female,19,0.2631578947368421
195,Male,43,0.32558139534883723
195,Female,28,0.4642857142857143
196,Male,50,0.4
196,Female,54,0.37037037037037035
197,Male,38,0.34210526315789475
197,Female,24,0.375
198,Male,45,0.4
198,Female,35,0.37142857142857144
199,Male,34,0.3235294117647059
199,Female,38,0.42105263157894735
200,Male,40,0.35
200,Female,24,0.3333333333333333
