"Surface","WRank","LRank","Year","Sex"
"Hard",147,114,2000,"M"
"Hard",63,12,2000,"M"
"Hard",69,3,2000,"M"
"Hard",77,51,2000,"M"
"Hard",38,91,2000,"M"
"Hard",84,87,2000,"M"
"Hard",67,69,2000,"M"
"Hard",20,84,2000,"M"
"Hard",77,63,2000,"M"
"Hard",38,147,2000,"M"
"Hard",67,38,2000,"M"
"Hard",77,20,2000,"M"
"Hard",77,67,2000,"M"
"Hard",94,587,2000,"M"
"Hard",42,96,2000,"M"
"Hard",44,397,2000,"M"
"Hard",53,698,2000,"M"
"Hard",95,55,2000,"M"
"Hard",98,241,2000,"M"
"Hard",64,179,2000,"M"
"Hard",82,127,2000,"M"
"Hard",188,99,2000,"M"
"Hard",143,71,2000,"M"
"Hard",97,117,2000,"M"
"Hard",17,73,2000,"M"
"Hard",60,66,2000,"M"
"Hard",79,46,2000,"M"
"Hard",125,584,2000,"M"
"Hard",120,100,2000,"M"
"Hard",42,97,2000,"M"
"Hard",44,64,2000,"M"
"Hard",53,188,2000,"M"
"Hard",95,120,2000,"M"
"Hard",98,143,2000,"M"
"Hard",82,125,2000,"M"
"Hard",17,94,2000,"M"
"Hard",79,60,2000,"M"
"Hard",44,98,2000,"M"
"Hard",53,82,2000,"M"
"Hard",17,95,2000,"M"
"Hard",79,42,2000,"M"
"Hard",17,44,2000,"M"
"Hard",79,53,2000,"M"
"Hard",17,79,2000,"M"
"Hard",175,123,2000,"M"
"Hard",419,104,2000,"M"
"Hard",99,126,2000,"M"
"Hard",109,100,2000,"M"
"Hard",131,227,2000,"M"
"Hard",204,94,2000,"M"
"Hard",127,95,2000,"M"
"Hard",118,90,2000,"M"
"Hard",596,122,2000,"M"
"Hard",113,93,2000,"M"
"Hard",96,176,2000,"M"
"Hard",105,106,2000,"M"
"Hard",97,193,2000,"M"
"Hard",125,116,2000,"M"
"Hard",112,101,2000,"M"
"Hard",76,127,2000,"M"
"Hard",43,131,2000,"M"
"Hard",46,109,2000,"M"
"Hard",70,113,2000,"M"
"Hard",55,105,2000,"M"
"Hard",64,99,2000,"M"
"Hard",21,596,2000,"M"
"Hard",78,112,2000,"M"
"Hard",135,57,2000,"M"
"Hard",16,419,2000,"M"
"Hard",118,30,2000,"M"
"Hard",58,175,2000,"M"
"Hard",56,96,2000,"M"
"Hard",97,38,2000,"M"
"Hard",65,204,2000,"M"
"Hard",37,125,2000,"M"
"Hard",76,37,2000,"M"
"Hard",43,64,2000,"M"
"Hard",46,135,2000,"M"
"Hard",21,65,2000,"M"
"Hard",118,70,2000,"M"
"Hard",58,97,2000,"M"
"Hard",56,55,2000,"M"
"Hard",76,43,2000,"M"
"Hard",21,46,2000,"M"
"Hard",78,56,2000,"M"
"Hard",118,58,2000,"M"
"Hard",76,21,2000,"M"
"Hard",78,118,2000,"M"
"Hard",78,76,2000,"M"
"Hard",69,9,2000,"M"
"Hard",280,61,2000,"M"
"Hard",34,84,2000,"M"
"Hard",49,33,2000,"M"
"Hard",19,36,2000,"M"
"Hard",11,51,2000,"M"
"Hard",23,26,2000,"M"
"Hard",2,121,2000,"M"
"Hard",4,44,2000,"M"
"Hard",5,50,2000,"M"
"Hard",40,41,2000,"M"
"Hard",15,81,2000,"M"
"Hard",13,29,2000,"M"
"Hard",35,28,2000,"M"
"Hard",98,12,2000,"M"
"Hard",110,63,2000,"M"
"Hard",49,98,2000,"M"
"Hard",11,35,2000,"M"
"Hard",23,69,2000,"M"
"Hard",2,34,2000,"M"
"Hard",4,40,2000,"M"
"Hard",5,110,2000,"M"
