"Surface","WRank","Year"
"Hard",42,2007
"Hard",139,2007
"Hard",45,2007
"Hard",98,2007
"Hard",61,2007
"Hard",42,2007
"Hard",52,2007
"Hard",49,2007
"Hard",61,2007
"Hard",52,2007
"Hard",61,2007
"Hard",12,2007
"Hard",66,2007
"Hard",11,2007
"Hard",13,2007
"Hard",85,2007
"Hard",47,2007
"Hard",54,2007
"Hard",21,2007
"Hard",62,2007
"Hard",20,2007
"Hard",14,2007
"Hard",12,2007
"Hard",20,2007
"Hard",4,2007
"Hard",11,2007
"Hard",7,2007
"Hard",3,2007
"Hard",14,2007
"Hard",12,2007
"Hard",3,2007
"Hard",4,2007
"Hard",20,2007
"Hard",3,2007
"Hard",4,2007
"Hard",3,2007
"Hard",77,2007
"Hard",153,2007
"Hard",117,2007
"Hard",237,2007
"Hard",115,2007
"Hard",78,2007
"Hard",145,2007
"Hard",63,2007
"Hard",257,2007
"Hard",122,2007
"Hard",152,2007
"Hard",143,2007
"Hard",97,2007
"Hard",107,2007
"Hard",78,2007
"Hard",36,2007
"Hard",46,2007
"Hard",237,2007
"Hard",117,2007
"Hard",143,2007
"Hard",107,2007
"Hard",36,2007
"Hard",153,2007
"Hard",46,2007
"Hard",117,2007
"Hard",36,2007
"Hard",143,2007
"Hard",153,2007
"Hard",36,2007
"Hard",143,2007
"Hard",143,2007
"Clay",191,2007
"Clay",52,2007
"Clay",222,2007
"Clay",387,2007
"Clay",157,2007
"Clay",39,2007
"Clay",177,2007
"Clay",64,2007
"Clay",163,2007
"Clay",223,2007
"Clay",145,2007
"Clay",51,2007
"Clay",29,2007
"Clay",162,2007
"Clay",144,2007
"Clay",130,2007
"Clay",52,2007
"Clay",145,2007
"Clay",222,2007
"Clay",64,2007
"Clay",51,2007
"Clay",29,2007
"Clay",162,2007
"Clay",39,2007
"Clay",51,2007
"Clay",64,2007
"Clay",29,2007
"Clay",64,2007
"Clay",29,2007
"Hard",32,2007
"Hard",42,2007
"Hard",90,2007
"Hard",13,2007
"Hard",24,2007
"Hard",19,2007
"Hard",41,2007
"Hard",127,2007
"Hard",33,2007
"Hard",11,2007
"Hard",38,2007
"Hard",13,2007
"Hard",42,2007
"Hard",19,2007
"Hard",5,2007
"Hard",11,2007
"Hard",3,2007
"Hard",2,2007
"Hard",6,2007
"Hard",3,2007
"Hard",11,2007
"Hard",5,2007
"Hard",2,2007
"Hard",2,2007
"Hard",2,2007
"Hard",70,2007
"Hard",46,2007
"Hard",126,2007
"Hard",53,2007
"Hard",160,2007
"Hard",55,2007
"Hard",254,2007
"Hard",138,2007
"Hard",54,2007
"Hard",66,2007
"Hard",91,2007
"Hard",17,2007
"Hard",76,2007
"Hard",28,2007
"Hard",84,2007
"Hard",74,2007
"Hard",70,2007
"Hard",54,2007
"Hard",28,2007
"Hard",66,2007
"Hard",74,2007
"Hard",17,2007
"Hard",254,2007
"Hard",17,2007
"Hard",70,2007
"Hard",54,2007
"Hard",17,2007
"Hard",54,2007
"Hard",54,2007
"Clay",65,2007
"Clay",52,2007
"Clay",103,2007
"Clay",83,2007
"Clay",35,2007
"Clay",149,2007
"Clay",24,2007
"Clay",47,2007
"Clay",71,2007
"Clay",402,2007
"Clay",216,2007
"Clay",43,2007
"Clay",198,2007
"Clay",42,2007
"Clay",36,2007
"Clay",27,2007
"Clay",42,2007
"Clay",216,2007
"Clay",52,2007
"Clay",149,2007
"Clay",402,2007
"Clay",47,2007
"Clay",83,2007
"Clay",52,2007
"Clay",42,2007
"Clay",216,2007
"Clay",83,2007
"Clay",52,2007
"Clay",42,2007
"Clay",52,2007
"Hard",25,2007
"Hard",37,2007
"Hard",46,2007
"Hard",19,2007
"Hard",131,2007
"Hard",39,2007
"Hard",32,2007
"Hard",33,2007
"Hard",414,2007
"Hard",58,2007
"Hard",13,2007
"Hard",13,2007
"Hard",2,2007
"Hard",19,2007
"Hard",5,2007
"Hard",6,2007
"Hard",10,2007
"Hard",19,2007
"Hard",10,2007
"Hard",5,2007
"Hard",2,2007
"Hard",2,2007
"Hard",5,2007
"Hard",2,2007
"Hard",63,2007
"Hard",49,2007
"Hard",47,2007
"Hard",138,2007
"Hard",69,2007
"Hard",85,2007
"Hard",56,2007
"Hard",127,2007
"Hard",76,2007
"Hard",58,2007
"Hard",52,2007
"Hard",65,2007
"Hard",95,2007
"Hard",89,2007
"Hard",61,2007
"Hard",120,2007
"Hard",44,2007
"Hard",87,2007
"Hard",82,2007
"Hard",103,2007
"Hard",160,2007
"Hard",128,2007
"Hard",54,2007
"Hard",78,2007
"Hard",59,2007
"Hard",60,2007
"Hard",66,2007
"Hard",68,2007
"Hard",166,2007
"Hard",74,2007
"Hard",32,2007
"Hard",26,2007
"Hard",49,2007
"Hard",18,2007
"Hard",33,2007
"Hard",127,2007
"Hard",9,2007
"Hard",35,2007
"Hard",21,2007
"Hard",6,2007
"Hard",20,2007
"Hard",16,2007
"Hard",76,2007
"Hard",17,2007
"Hard",1,2007
"Hard",46,2007
"Hard",27,2007
"Hard",68,2007
"Hard",14,2007
"Hard",54,2007
"Hard",66,2007
"Hard",7,2007
"Hard",24,2007
"Hard",23,2007
"Hard",12,2007
"Hard",29,2007
"Hard",4,2007
"Hard",19,2007
"Hard",42,2007
"Hard",128,2007
"Hard",10,2007
"Hard",18,2007
"Hard",17,2007
"Hard",1,2007
"Hard",16,2007
"Hard",20,2007
"Hard",9,2007
"Hard",11,2007
"Hard",6,2007
"Hard",23,2007
"Hard",14,2007
"Hard",46,2007
"Hard",24,2007
"Hard",4,2007
"Hard",19,2007
"Hard",7,2007
"Hard",20,2007
"Hard",17,2007
"Hard",16,2007
"Hard",10,2007
"Hard",18,2007
"Hard",46,2007
"Hard",4,2007
"Hard",17,2007
"Hard",18,2007
"Hard",4,2007
"Hard",46,2007
"Hard",18,2007
"Hard",4,2007
"Hard",63,2007
"Hard",61,2007
"Hard",74,2007
"Hard",52,2007
"Hard",248,2007
"Hard",60,2007
"Hard",71,2007
"Hard",100,2007
"Hard",37,2007
"Hard",89,2007
"Hard",44,2007
"Hard",67,2007
"Hard",40,2007
"Hard",78,2007
"Hard",55,2007
"Hard",56,2007
"Hard",93,2007
"Hard",84,2007
"Hard",42,2007
"Hard",49,2007
"Hard",98,2007
"Hard",91,2007
"Hard",96,2007
"Hard",39,2007
"Hard",95,2007
"Hard",82,2007
"Hard",101,2007
"Hard",66,2007
"Hard",76,2007
"Hard",69,2007
"Hard",1,2007
"Hard",9,2007
"Hard",24,2007
"Hard",17,2007
"Hard",71,2007
"Hard",14,2007
"Hard",27,2007
"Hard",36,2007
"Hard",19,2007
"Hard",5,2007
"Hard",23,2007
"Hard",89,2007
"Hard",20,2007
"Hard",11,2007
"Hard",7,2007
"Hard",101,2007
"Hard",49,2007
"Hard",6,2007
"Hard",25,2007
"Hard",26,2007
"Hard",66,2007
"Hard",56,2007
"Hard",69,2007
"Hard",8,2007
"Hard",2,2007
"Hard",98,2007
"Hard",39,2007
"Hard",18,2007
"Hard",16,2007
"Hard",84,2007
"Hard",3,2007
"Hard",14,2007
"Hard",17,2007
"Hard",49,2007
"Hard",5,2007
"Hard",11,2007
"Hard",36,2007
"Hard",7,2007
"Hard",16,2007
"Hard",101,2007
"Hard",1,2007
"Hard",20,2007
"Hard",25,2007
"Hard",8,2007
"Hard",2,2007
"Hard",3,2007
"Hard",18,2007
"Hard",7,2007
"Hard",11,2007
"Hard",1,2007
"Hard",17,2007
"Hard",25,2007
"Hard",16,2007
"Hard",8,2007
"Hard",18,2007
"Hard",11,2007
"Hard",1,2007
"Hard",16,2007
"Hard",18,2007
"Hard",1,2007
"Hard",18,2007
"Hard",18,2007
"Clay",38,2007
"Clay",74,2007
"Clay",571,2007
"Clay",51,2007
"Clay",22,2007
"Clay",57,2007
"Clay",150,2007
"Clay",75,2007
"Clay",41,2007
"Clay",54,2007
"Clay",50,2007
"Clay",30,2007
"Clay",107,2007
"Clay",47,2007
"Clay",29,2007
"Clay",33,2007
"Clay",70,2007
"Clay",37,2007
"Clay",43,2007
"Clay",86,2007
"Clay",62,2007
"Clay",27,2007
"Clay",32,2007
"Clay",13,2007
"Clay",150,2007
"Clay",41,2007
"Clay",22,2007
"Clay",7,2007
"Clay",14,2007
"Clay",107,2007
"Clay",43,2007
"Clay",29,2007
"Clay",27,2007
"Clay",51,2007
"Clay",20,2007
"Clay",38,2007
"Clay",9,2007
"Clay",32,2007
"Clay",17,2007
"Clay",13,2007
"Clay",7,2007
"Clay",29,2007
"Clay",17,2007
"Clay",9,2007
"Clay",32,2007
"Clay",20,2007
"Clay",14,2007
"Clay",17,2007
"Clay",20,2007
"Clay",29,2007
"Clay",7,2007
"Clay",20,2007
"Clay",7,2007
"Clay",20,2007
"Clay",55,2007
"Clay",22,2007
"Clay",47,2007
"Clay",69,2007
"Clay",92,2007
"Clay",78,2007
"Clay",45,2007
"Clay",84,2007
"Clay",20,2007
"Clay",38,2007
"Clay",73,2007
"Clay",35,2007
"Clay",54,2007
"Clay",62,2007
"Clay",64,2007
"Clay",53,2007
"Clay",21,2007
"Clay",30,2007
"Clay",46,2007
"Clay",26,2007
"Clay",19,2007
"Clay",32,2007
"Clay",29,2007
"Clay",54,2007
"Clay",18,2007
"Clay",17,2007
"Clay",38,2007
"Clay",30,2007
"Clay",69,2007
"Clay",20,2007
"Clay",32,2007
"Clay",19,2007
"Clay",12,2007
"Clay",21,2007
"Clay",29,2007
"Clay",9,2007
"Clay",35,2007
"Clay",9,2007
"Clay",54,2007
"Clay",29,2007
"Clay",12,2007
"Clay",32,2007
"Clay",19,2007
"Clay",21,2007
"Clay",20,2007
"Clay",29,2007
"Clay",9,2007
"Clay",20,2007
"Clay",9,2007
"Clay",9,2007
"Clay",41,2007
"Clay",35,2007
"Clay",325,2007
"Clay",111,2007
"Clay",108,2007
"Clay",101,2007
"Clay",124,2007
"Clay",100,2007
"Clay",152,2007
"Clay",167,2007
"Clay",50,2007
"Clay",158,2007
"Clay",23,2007
"Clay",44,2007
"Clay",100,2007
"Clay",97,2007
"Clay",41,2007
"Clay",325,2007
"Clay",158,2007
"Clay",44,2007
"Clay",50,2007
"Clay",50,2007
"Clay",325,2007
"Clay",97,2007
"Clay",50,2007
"Clay",325,2007
"Clay",50,2007
"Clay",37,2007
"Clay",30,2007
"Clay",410,2007
"Clay",68,2007
"Clay",120,2007
"Clay",67,2007
"Clay",115,2007
"Clay",34,2007
"Clay",26,2007
"Clay",23,2007
"Clay",176,2007
"Clay",132,2007
"Clay",87,2007
"Clay",47,2007
"Clay",267,2007
"Clay",67,2007
"Clay",23,2007
"Clay",30,2007
"Clay",68,2007
"Clay",410,2007
"Clay",176,2007
"Clay",34,2007
"Clay",30,2007
"Clay",68,2007
"Clay",176,2007
"Clay",68,2007
"Clay",176,2007
"Clay",176,2007
"Clay",31,2007
"Clay",11,2007
"Clay",40,2007
"Clay",13,2007
"Clay",24,2007
"Clay",46,2007
"Clay",80,2007
"Clay",70,2007
"Clay",61,2007
"Clay",43,2007
"Clay",22,2007
"Clay",31,2007
"Clay",11,2007
"Clay",40,2007
"Clay",5,2007
"Clay",7,2007
"Clay",1,2007
"Clay",22,2007
"Clay",61,2007
"Clay",1,2007
"Clay",5,2007
"Clay",1,2007
"Clay",40,2007
"Clay",1,2007
"Clay",37,2007
"Clay",18,2007
"Clay",15,2007
"Clay",30,2007
"Clay",67,2007
"Clay",39,2007
"Clay",11,2007
"Clay",66,2007
"Clay",33,2007
"Clay",53,2007
"Clay",56,2007
"Clay",48,2007
"Clay",108,2007
"Clay",14,2007
"Clay",254,2007
"Clay",63,2007
"Clay",16,2007
"Clay",75,2007
"Clay",117,2007
"Clay",25,2007
"Clay",29,2007
"Clay",32,2007
"Clay",113,2007
"Clay",19,2007
"Clay",16,2007
"Clay",9,2007
"Clay",14,2007
"Clay",1,2007
"Clay",39,2007
"Clay",53,2007
"Clay",33,2007
"Clay",7,2007
"Clay",29,2007
"Clay",10,2007
"Clay",30,2007
"Clay",4,2007
"Clay",75,2007
"Clay",6,2007
"Clay",19,2007
"Clay",3,2007
"Clay",9,2007
"Clay",4,2007
"Clay",19,2007
"Clay",10,2007
"Clay",1,2007
"Clay",53,2007
"Clay",4,2007
"Clay",16,2007
"Clay",53,2007
"Clay",1,2007
"Clay",4,2007
"Clay",16,2007
"Clay",109,2007
"Clay",100,2007
"Clay",102,2007
"Clay",59,2007
"Clay",142,2007
"Clay",139,2007
"Clay",95,2007
"Clay",223,2007
"Clay",36,2007
"Clay",60,2007
"Clay",107,2007
"Clay",24,2007
"Clay",148,2007
"Clay",86,2007
"Clay",55,2007
"Clay",47,2007
"Clay",109,2007
"Clay",142,2007
"Clay",24,2007
"Clay",95,2007
"Clay",86,2007
"Clay",139,2007
"Clay",60,2007
"Clay",55,2007
"Clay",24,2007
"Clay",142,2007
"Clay",55,2007
"Clay",60,2007
"Clay",24,2007
"Clay",60,2007
"Clay",85,2007
"Clay",125,2007
"Clay",75,2007
"Clay",116,2007
"Clay",114,2007
"Clay",158,2007
"Clay",80,2007
"Clay",250,2007
"Clay",146,2007
"Clay",105,2007
"Clay",118,2007
"Clay",213,2007
"Clay",114,2007
"Clay",116,2007
"Clay",125,2007
"Clay",146,2007
"Clay",213,2007
"Clay",104,2007
"Clay",80,2007
"Clay",114,2007
"Clay",104,2007
"Clay",213,2007
"Clay",146,2007
"Clay",104,2007
"Clay",104,2007
"Clay",25,2007
"Clay",133,2007
"Clay",55,2007
"Clay",78,2007
"Clay",39,2007
"Clay",110,2007
"Clay",14,2007
"Clay",113,2007
"Clay",28,2007
"Clay",13,2007
"Clay",61,2007
"Clay",24,2007
"Clay",138,2007
"Clay",50,2007
"Clay",29,2007
"Clay",45,2007
"Clay",17,2007
"Clay",20,2007
"Clay",23,2007
"Clay",199,2007
"Clay",30,2007
"Clay",57,2007
"Clay",31,2007
"Clay",11,2007
"Clay",9,2007
"Clay",138,2007
"Clay",13,2007
"Clay",17,2007
"Clay",57,2007
"Clay",255,2007
"Clay",15,2007
"Clay",5,2007
"Clay",3,2007
"Clay",29,2007
"Clay",14,2007
"Clay",10,2007
"Clay",31,2007
"Clay",12,2007
"Clay",28,2007
"Clay",14,2007
"Clay",17,2007
"Clay",5,2007
"Clay",11,2007
"Clay",9,2007
"Clay",31,2007
"Clay",3,2007
"Clay",5,2007
"Clay",17,2007
"Clay",3,2007
"Clay",14,2007
"Clay",5,2007
"Clay",3,2007
"Clay",5,2007
"Clay",43,2007
"Clay",103,2007
"Clay",59,2007
"Clay",25,2007
"Clay",95,2007
"Clay",81,2007
"Clay",302,2007
"Clay",218,2007
"Clay",15,2007
"Clay",78,2007
"Clay",66,2007
"Clay",391,2007
"Clay",102,2007
"Clay",29,2007
"Clay",2,2007
"Clay",66,2007
"Clay",102,2007
"Clay",15,2007
"Clay",25,2007
"Clay",43,2007
"Clay",59,2007
"Clay",14,2007
"Clay",59,2007
"Clay",14,2007
"Clay",2,2007
"Clay",14,2007
"Clay",59,2007
"Clay",18,2007
"Clay",82,2007
"Clay",105,2007
"Clay",47,2007
"Clay",167,2007
"Clay",96,2007
"Clay",132,2007
"Clay",79,2007
"Clay",60,2007
"Clay",70,2007
"Clay",72,2007
"Clay",21,2007
"Clay",67,2007
"Clay",27,2007
"Clay",47,2007
"Clay",67,2007
"Clay",72,2007
"Clay",18,2007
"Clay",27,2007
"Clay",5,2007
"Clay",21,2007
"Clay",4,2007
"Clay",27,2007
"Clay",4,2007
"Clay",5,2007
"Clay",21,2007
"Clay",5,2007
"Clay",27,2007
"Clay",8,2007
"Clay",11,2007
"Clay",72,2007
"Clay",1,2007
"Clay",18,2007
"Clay",40,2007
"Clay",27,2007
"Clay",80,2007
"Clay",30,2007
"Clay",22,2007
"Clay",126,2007
"Clay",182,2007
"Clay",267,2007
"Clay",155,2007
"Clay",210,2007
"Clay",31,2007
"Clay",5,2007
"Clay",10,2007
"Clay",14,2007
"Clay",69,2007
"Clay",99,2007
"Clay",68,2007
"Clay",28,2007
"Clay",44,2007
"Clay",519,2007
"Clay",95,2007
"Clay",71,2007
"Clay",125,2007
"Clay",21,2007
"Clay",25,2007
"Clay",136,2007
"Clay",150,2007
"Clay",17,2007
"Clay",81,2007
"Clay",20,2007
"Clay",2,2007
"Clay",46,2007
"Clay",3,2007
"Clay",26,2007
"Clay",7,2007
"Clay",102,2007
"Clay",56,2007
"Clay",85,2007
"Clay",73,2007
"Clay",23,2007
"Clay",24,2007
"Clay",61,2007
"Clay",9,2007
"Clay",101,2007
"Clay",29,2007
"Clay",35,2007
"Clay",13,2007
"Clay",15,2007
"Clay",45,2007
"Clay",103,2007
"Clay",47,2007
"Clay",32,2007
"Clay",50,2007
"Clay",36,2007
"Clay",122,2007
"Clay",4,2007
"Clay",39,2007
"Clay",131,2007
"Clay",27,2007
"Clay",14,2007
"Clay",31,2007
"Clay",22,2007
"Clay",25,2007
"Clay",40,2007
"Clay",11,2007
"Clay",28,2007
"Clay",30,2007
"Clay",21,2007
"Clay",5,2007
"Clay",1,2007
"Clay",519,2007
"Clay",18,2007
"Clay",10,2007
"Clay",20,2007
"Clay",15,2007
"Clay",122,2007
"Clay",103,2007
"Clay",2,2007
"Clay",7,2007
"Clay",17,2007
"Clay",85,2007
"Clay",8,2007
"Clay",29,2007
"Clay",4,2007
"Clay",26,2007
"Clay",131,2007
"Clay",3,2007
"Clay",9,2007
"Clay",23,2007
"Clay",13,2007
"Clay",5,2007
"Clay",22,2007
"Clay",10,2007
"Clay",25,2007
"Clay",21,2007
"Clay",1,2007
"Clay",8,2007
"Clay",11,2007
"Clay",3,2007
"Clay",15,2007
"Clay",2,2007
"Clay",7,2007
"Clay",9,2007
"Clay",17,2007
"Clay",23,2007
"Clay",29,2007
"Clay",8,2007
"Clay",10,2007
"Clay",3,2007
"Clay",1,2007
"Clay",7,2007
"Clay",5,2007
"Clay",9,2007
"Clay",2,2007
"Clay",7,2007
"Clay",5,2007
"Clay",2,2007
"Clay",1,2007
"Clay",7,2007
"Clay",1,2007
"Clay",1,2007
"Clay",48,2007
"Clay",49,2007
"Clay",63,2007
"Clay",87,2007
"Clay",77,2007
"Clay",162,2007
"Clay",62,2007
"Clay",82,2007
"Clay",143,2007
"Clay",135,2007
"Clay",91,2007
"Clay",67,2007
"Clay",130,2007
"Clay",58,2007
"Clay",62,2007
"Clay",49,2007
"Clay",48,2007
"Clay",87,2007
"Clay",67,2007
"Clay",63,2007
"Clay",91,2007
"Clay",82,2007
"Clay",87,2007
"Clay",91,2007
"Clay",62,2007
"Clay",49,2007
"Clay",91,2007
"Clay",49,2007
"Clay",49,2007
"Grass",43,2007
"Grass",35,2007
"Grass",119,2007
"Grass",123,2007
"Grass",120,2007
"Grass",41,2007
"Grass",40,2007
"Grass",129,2007
"Grass",47,2007
"Grass",144,2007
"Grass",81,2007
"Grass",44,2007
"Grass",108,2007
"Grass",42,2007
"Grass",159,2007
"Grass",54,2007
"Grass",200,2007
"Grass",75,2007
"Grass",243,2007
"Grass",71,2007
"Grass",50,2007
"Grass",85,2007
"Grass",55,2007
"Grass",18,2007
"Grass",43,2007
"Grass",44,2007
"Grass",47,2007
"Grass",13,2007
"Grass",3,2007
"Grass",30,2007
"Grass",129,2007
"Grass",55,2007
"Grass",41,2007
"Grass",200,2007
"Grass",2,2007
"Grass",85,2007
"Grass",25,2007
"Grass",75,2007
"Grass",20,2007
"Grass",3,2007
"Grass",18,2007
"Grass",25,2007
"Grass",20,2007
"Grass",47,2007
"Grass",2,2007
"Grass",13,2007
"Grass",30,2007
"Grass",3,2007
"Grass",2,2007
"Grass",20,2007
"Grass",3,2007
"Grass",2,2007
"Grass",3,2007
"Grass",26,2007
"Grass",14,2007
"Grass",204,2007
"Grass",412,2007
"Grass",16,2007
"Grass",85,2007
"Grass",48,2007
"Grass",20,2007
"Grass",22,2007
"Grass",29,2007
"Grass",188,2007
"Grass",38,2007
"Grass",14,2007
"Grass",22,2007
"Grass",1,2007
"Grass",16,2007
"Grass",4,2007
"Grass",11,2007
"Grass",12,2007
"Grass",20,2007
"Grass",1,2007
"Grass",11,2007
"Grass",20,2007
"Grass",4,2007
"Grass",1,2007
"Grass",1,2007
"Grass",53,2007
"Grass",8,2007
"Grass",73,2007
"Grass",94,2007
"Grass",33,2007
"Grass",36,2007
"Grass",68,2007
"Grass",44,2007
"Grass",30,2007
"Grass",84,2007
"Grass",13,2007
"Grass",10,2007
"Grass",41,2007
"Grass",6,2007
"Grass",25,2007
"Grass",73,2007
"Grass",8,2007
"Grass",84,2007
"Grass",13,2007
"Grass",13,2007
"Grass",3,2007
"Grass",8,2007
"Grass",10,2007
"Grass",3,2007
"Grass",8,2007
"Grass",8,2007
"Grass",58,2007
"Grass",49,2007
"Grass",68,2007
"Grass",77,2007
"Grass",21,2007
"Grass",16,2007
"Grass",25,2007
"Grass",15,2007
"Grass",11,2007
"Grass",8,2007
"Grass",75,2007
"Grass",83,2007
"Grass",1,2007
"Grass",19,2007
"Grass",56,2007
"Grass",28,2007
"Grass",12,2007
"Grass",22,2007
"Grass",50,2007
"Grass",186,2007
"Grass",4,2007
"Grass",154,2007
"Grass",67,2007
"Grass",24,2007
"Grass",72,2007
"Grass",45,2007
"Grass",47,2007
"Grass",156,2007
"Grass",43,2007
"Grass",3,2007
"Grass",7,2007
"Grass",105,2007
"Grass",98,2007
"Grass",170,2007
"Grass",85,2007
"Grass",139,2007
